[ERROR][2016-08-15 14:52:51,748][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-15 14:52:51,995][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-15 14:53:42,719][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-15 14:53:43,192][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-15 14:53:43,203][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-15 15:29:18,032][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-15 15:29:18,251][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-15 15:29:45,488][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-15 15:29:45,952][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-15 15:29:45,966][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-15 15:31:08,200][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-15 15:31:08,247][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-15 15:31:08,263][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-15 15:31:17,030][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-16 09:48:23,758][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 09:48:24,162][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 09:48:25,873][com.jk.listener.RepairListener]修复数据库
[ERROR][2016-08-16 11:09:00,791][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 11:09:00,964][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 11:09:01,993][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 11:12:05,172][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:12:05,843][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:12:05,854][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:12:13,441][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:12:13,520][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:12:33,270][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:12:33,396][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-16 11:14:02,758][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 11:14:02,963][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 11:14:03,836][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 11:14:20,015][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:14:20,390][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:14:20,406][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:14:29,720][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:14:29,752][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-16 11:15:09,896][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 11:15:10,087][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 11:15:10,836][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 11:15:15,298][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:15:15,642][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:15:15,658][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:15:24,612][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-16 11:15:50,528][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 11:15:50,701][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 11:15:51,528][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 11:15:55,383][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:15:55,759][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:15:55,774][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:16:04,780][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:16:04,828][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-16 11:17:13,763][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 11:17:13,951][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 11:17:14,872][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 11:17:31,555][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:17:31,899][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:17:31,930][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:17:40,482][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:17:40,513][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-16 11:19:01,690][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 11:19:01,863][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 11:19:02,769][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 11:19:36,089][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:19:36,418][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:19:36,433][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:19:43,100][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:19:43,115][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:20:11,430][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:11,494][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:11,509][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:19,028][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:19,044][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:20:49,156][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:49,219][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:49,235][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:56,179][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:56,195][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:21:16,672][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:21:16,687][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:21:42,040][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:21:42,055][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:22:09,346][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:22:09,361][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-16 11:27:44,820][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 11:27:45,009][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 11:27:45,835][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 11:27:50,706][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:27:51,050][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:27:51,065][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:27:58,756][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:27:58,772][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:28:26,231][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:28:26,246][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:48:16,592][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:48:16,608][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-16 14:39:08,381][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 14:39:08,570][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 14:39:09,404][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 14:41:31,644][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 14:41:38,549][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 14:41:40,584][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-16 14:42:17,525][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 14:42:17,711][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 14:42:18,553][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 14:43:09,170][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 14:44:29,672][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-16 14:45:01,861][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 14:45:02,048][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 14:45:02,859][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 14:45:52,965][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-16 14:47:03,321][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 14:47:03,502][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
